Account,date,daily_pnl,n_trades,n_wins,win_rate,avg_trade_size_usd,total_volume_usd,longs,shorts,value,classification
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-09-12,0.0,46.0,0.0,0.0,1131.888695652174,52066.88,46.0,0.0,31,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-12,2517.787385,64.0,63.0,0.984375,852.88625,54584.72,0.0,64.0,49,Neutral
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-02,1162.002541,78.0,25.0,0.32051282051282054,2094.7193589743592,163388.11000000002,53.0,25.0,70,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-05,1243.8535689999999,250.0,81.0,0.324,815.50576,203876.44,169.0,81.0,72,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,517.0,233.0,0.4506769825918762,2792.42166344294,1443682.0,270.0,247.0,60,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,110.0,50.0,0.45454545454545453,1999.099181818182,219900.91,60.0,50.0,33,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,0.0,1.0,0.0,0.0,54768.6,54768.6,1.0,0.0,15,Extreme Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,-3169.3554679999997,65.0,0.0,0.0,1756.5103076923074,114173.16999999998,55.0,10.0,25,Fear
0x271b280974205ca63b716753467d5a371de622ab,2024-05-12,208.81746,4.0,3.0,0.75,39530.9875,158123.95,3.0,1.0,56,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-01-12,4458.2549500000005,193.0,97.0,0.5025906735751295,247.12725388601035,47695.56,66.0,127.0,71,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-02-12,1283.846047,140.0,73.0,0.5214285714285715,140.36935714285713,19651.71,70.0,70.0,70,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-03-12,1190.358719,78.0,37.0,0.47435897435897434,92.37217948717948,7205.03,28.0,50.0,81,Extreme Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-04-12,9066.169645999998,112.0,60.0,0.5357142857142857,165.78285714285715,18567.68,30.0,82.0,79,Extreme Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-05-12,14685.787664,98.0,48.0,0.4897959183673469,259.245918367347,25406.100000000002,33.0,65.0,56,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-06-12,389.176232,69.0,16.0,0.2318840579710145,129.8053623188406,8956.570000000002,27.0,42.0,72,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-07-12,4008.012049,86.0,36.0,0.4186046511627907,159.67825581395346,13732.329999999998,20.0,66.0,25,Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-08-12,554.009942,102.0,43.0,0.4215686274509804,77.67176470588235,7922.5199999999995,31.0,71.0,25,Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-09-12,768.4308380000002,213.0,126.0,0.5915492957746479,88.1318309859155,18772.08,169.0,44.0,31,Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-12,980.557461,157.0,106.0,0.6751592356687898,119.62222929936307,18780.690000000002,117.0,40.0,49,Neutral
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-12,1582.001112,93.0,32.0,0.34408602150537637,124.41204301075268,11570.32,16.0,77.0,80,Extreme Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,5806.86932,147.0,82.0,0.5578231292517006,150.14530612244897,22071.36,28.0,119.0,83,Extreme Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,109.82694000000001,59.0,21.0,0.3559322033898305,263.347627118644,15537.509999999998,44.0,15.0,66,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,3.5366680000000015,51.0,21.0,0.4117647058823529,1057.5154901960786,53933.29000000001,30.0,21.0,70,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,557.9358,37.0,14.0,0.3783783783783784,840.2127027027026,31087.869999999995,18.0,19.0,74,Greed
